program_id;fakulte_adi;puan_turu;burs_turu;genel_kontenjan;okul_birincisi_kontenjani;toplam_kontenjan;genel_kontenjana_yerlesen;okul_birincisi_kontenjanina_yerlesen;toplam_yerlesen;bos_kontenjan;ilk_yerlesme_orani;kayit_yaptirmayan;ek_yerlesen;ortalama_obp;ort_diploma_notu
200190053;Sağlık Bilimleri Fakültesi;SAY;Burslu;9;0;9;9;0;9;0;100;0;0;435.72;87.1
200190054;Sağlık Bilimleri Fakültesi;SAY;%50 İndirimli;51;0;51;51;0;51;0;100;2;2;416.801;83.4
200110026;Sağlık Bilimleri Fakültesi;EA;Burslu;4;0;4;4;0;4;0;100;0;0;444.545;88.9
200110177;Sağlık Bilimleri Fakültesi;EA;%50 İndirimli;21;0;21;21;0;21;0;100;1;1;396.218;79.2
200110071;Tıp Fakültesi;SAY;Burslu;20;0;20;20;0;20;0;100;0;0;491.135;98.2
200110238;Tıp Fakültesi;SAY;%50 İndirimli;20;0;20;20;0;20;0;100;0;0;491.439;98.3
110410223;Havacılık ve Uzay Bilimleri Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;0;0;424.899;85
110410227;İnsan ve Toplum Bilimleri Fakültesi;DİL;Ücretsiz;60;2;62;62;0;62;0;100;0;0;396.01;79.2
110410213;İşletme Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;1;1;381.296;76.3
110410228;İşletme Fakültesi;EA;Ücretsiz;50;2;52;52;0;52;0;100;0;0;377.042;75.4
110410028;İşletme Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;3;3;386.591;77.3
110410224;Mimarlık ve Tasarım Fakültesi;SAY;Ücretsiz;70;2;72;72;0;72;0;100;2;2;421.61;84.3
110410143;Mühendislik Fakültesi;SAY;Ücretsiz;70;2;72;72;0;72;0;100;0;0;431.478;86.3
110410064;Mühendislik Fakültesi;SAY;Ücretsiz;20;1;21;9;0;9;12;42.9;2;2;407.763;81.6
110410019;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;1;1;415.764;83.2
110410037;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;0;0;416.169;83.2
100210053;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;40;1;41;41;0;41;0;100;2;2;386.731;77.3
100210132;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;50;2;52;52;0;52;0;100;5;5;340.715;68.1
100210141;Fen-Edebiyat Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;7;7;358.342;71.7
100210186;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;70;2;72;71;1;72;0;100;1;1;338.049;67.6
100210062;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;1;1;364.431;72.9
100210195;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;40;1;41;41;0;41;0;100;4;4;326.534;65.3
100210202;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;30;1;31;31;0;31;0;100;2;2;356.754;71.4
100290058;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;30;1;31;31;0;31;0;100;2;2;385.591;77.1
100210211;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;2;2;364.933;73
100210371;İslami İlimler Fakültesi;SÖZ;Ücretsiz;90;3;93;91;2;93;0;100;2;2;372.093;74.4
100210326;Mühendislik Fakültesi;SAY;Ücretsiz;40;1;41;11;0;11;30;26.8;2;3;396.016;79.2
100210308;Mühendislik Fakültesi;SAY;Ücretsiz;40;1;41;15;0;15;26;36.6;2;2;410.702;82.1
100210335;Mühendislik Fakültesi;SAY;Ücretsiz;25;1;26;4;0;4;22;15.4;0;0;388.15;77.6
100290060;Mühendislik Fakültesi;SAY;Ücretsiz;20;1;21;5;0;5;16;23.8;0;0;444.28;88.9
100210071;Sağlık Bilimleri Fakültesi;SAY;Ücretsiz;60;2;62;60;2;62;0;100;0;0;415.176;83
100210089;Sağlık Bilimleri Fakültesi;SAY;Ücretsiz;100;3;103;100;3;103;0;100;1;1;426.951;85.4
100210398;Tarım Bilimleri ve Teknolojileri Fakültesi;SAY;Ücretsiz;30;1;31;30;1;31;0;100;2;2;400.838;80.2
100210168;Tıp Fakültesi;SAY;Ücretsiz;140;4;144;140;4;144;0;100;0;0;463.718;92.7
100290059;Turizm Fakültesi;DİL;Ücretsiz;40;1;41;41;0;41;0;100;2;2;368.87;73.8
100410969;Bolvadin Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;50;2;52;52;0;52;0;100;3;3;360.491;72.1
100410793;Bolvadin Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;40;1;41;41;0;41;0;100;0;0;353.156;70.6
100490183;Bolvadin Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;1;0;1;0;0;0;1;0;0;0;0;0
100490199;Bolvadin Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;25;1;26;26;0;26;0;100;0;0;331.599;66.3
100490202;Dinar Uygulamalı Bilimler Yüksekokulu;SAY;Ücretsiz;40;1;41;41;0;41;0;100;4;4;366.181;73.2
100490203;Dinar Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;20;1;21;16;0;16;5;76.2;4;9;326.176;65.2
100410687;Eğitim Fakültesi;SAY;Ücretsiz;30;1;31;31;0;31;0;100;0;0;423.769;84.8
100410678;Eğitim Fakültesi;SAY;Ücretsiz;50;2;52;50;2;52;0;100;0;0;453.327;90.7
100410015;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;1;1;402.956;80.6
100410024;Eğitim Fakültesi;EA;Ücretsiz;60;2;62;61;1;62;0;100;0;0;423.3;84.7
100410033;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;61;1;62;0;100;0;0;378.15;75.6
100410042;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;1;1;391.475;78.3
100410069;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;1;1;353.643;70.7
100430267;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;50;2;52;52;0;52;0;100;0;0;349.672;69.9
100410078;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;50;2;52;52;0;52;0;100;3;3;344.361;68.9
100430319;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;40;1;41;41;0;41;0;100;10;10;339.619;67.9
100410924;Fen-Edebiyat Fakültesi;EA;Ücretsiz;40;1;41;41;0;41;0;100;4;4;358.575;71.7
100410103;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;20;1;21;21;0;21;0;100;0;0;393.961;78.8
100410112;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;50;2;52;51;1;52;0;100;0;0;402.123;80.4
100410809;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;1;1;397.934;79.6
100490197;Fen-Edebiyat Fakültesi;EA;Ücretsiz;60;2;62;60;2;62;0;100;0;0;425.66;85.1
100410121;Fen-Edebiyat Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;3;3;367.6;73.5
100430055;Fen-Edebiyat Fakültesi;EA;İÖ-Ücretli;60;2;62;62;0;62;0;100;4;4;371.262;74.3
100410139;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;80;2;82;81;1;82;0;100;4;4;348.949;69.8
100430064;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;70;2;72;72;0;72;0;100;7;7;337.086;67.4
100410148;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;70;2;72;72;0;72;0;100;0;0;367.36;73.5
100430073;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;70;2;72;72;0;72;0;100;6;6;369.373;73.9
100410784;Güzel Sanatlar Fakültesi;EA;Ücretsiz;60;2;62;60;2;62;0;100;2;2;403.902;80.8
100430531;Güzel Sanatlar Fakültesi;EA;İÖ-Ücretli;60;2;62;60;2;62;0;100;3;3;393.364;78.7
100410157;Güzel Sanatlar Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;4;4;348.839;69.8
100410836;Hukuk Fakültesi;EA;Ücretsiz;140;4;144;140;4;144;0;100;1;1;425.963;85.2
100410166;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;1;1;363.396;72.7
100410175;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;3;3;363.491;72.7
100410184;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;1;1;364.57;72.9
100410193;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;90;3;93;92;1;93;0;100;5;5;374.89;75
100430107;İktisadi ve İdari Bilimler Fakültesi;EA;İÖ-Ücretli;40;1;41;41;0;41;0;100;2;2;359.944;72
100410978;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;5;5;373.197;74.6
100430655;İktisadi ve İdari Bilimler Fakültesi;EA;İÖ-Ücretli;40;1;41;41;0;41;0;100;1;1;356.398;71.3
100490204;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;70;2;72;72;0;72;0;100;2;2;358.376;71.7
100490200;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;1;0;1;0;0;0;1;0;0;0;0;0
100410766;İslami İlimler Fakültesi;SÖZ;Ücretsiz;110;3;113;112;1;113;0;100;2;2;375.982;75.2
100430522;İslami İlimler Fakültesi;SÖZ;İÖ-Ücretli;90;3;93;93;0;93;0;100;6;6;371.894;74.4
100410696;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;32;0;32;30;51.6;1;6;406.117;81.2
100410872;Mühendislik Fakültesi;SAY;Ücretsiz;2;0;2;0;0;0;2;0;0;0;0;0
100410633;Mühendislik Fakültesi;SAY;Ücretsiz;80;2;82;47;0;47;35;57.3;1;1;393.628;78.7
100410218;Mühendislik Fakültesi;SAY;Ücretsiz;30;1;31;3;0;3;28;9.7;0;0;431.82;86.4
100410536;Mühendislik Fakültesi;SAY;Ücretsiz;30;1;31;2;0;2;29;6.5;0;0;431.217;86.2
100410624;Mühendislik Fakültesi;SAY;Ücretsiz;50;2;52;11;0;11;41;21.2;0;3;404.674;80.9
100410493;Mühendislik Fakültesi;SAY;Ücretsiz;20;1;21;5;0;5;16;23.8;1;4;411.971;82.4
100410236;Mühendislik Fakültesi;SAY;Ücretsiz;10;1;11;4;0;4;7;36.4;0;0;404.745;80.9
100410245;Mühendislik Fakültesi;SAY;Ücretsiz;20;1;21;0;0;0;21;0;0;0;0;0
100490191;Sandıklı Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;50;2;52;50;2;52;0;100;0;0;398.725;79.7
100410987;Sandıklı Uygulamalı Bilimler Yüksekokulu;EA;Ücretsiz;50;2;52;51;1;52;0;100;1;1;395.77;79.2
100410651;Teknoloji Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;0;0;402.465;80.5
100410669;Teknoloji Fakültesi;SAY;Ücretsiz;14;1;15;2;0;2;13;13.3;0;2;344.9;69
100410615;Teknoloji Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;4;4;400.478;80.1
100410712;Teknoloji Fakültesi;SAY;Ücretsiz;60;2;62;32;0;32;30;51.6;1;4;399.973;80
100410599;Teknoloji Fakültesi;SAY;Ücretsiz;20;1;21;9;0;9;12;42.9;0;1;388.719;77.7
100410827;Turizm Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;1;1;381.338;76.3
100430567;Turizm Fakültesi;SÖZ;İÖ-Ücretli;60;2;62;61;1;62;0;100;2;2;371.193;74.2
100410818;Turizm Fakültesi;EA;Ücretsiz;30;1;31;31;0;31;0;100;2;2;348.824;69.8
100410933;Turizm Fakültesi;DİL;Ücretsiz;50;2;52;52;0;52;0;100;2;2;357.644;71.5
100430601;Turizm Fakültesi;DİL;İÖ-Ücretli;40;1;41;41;0;41;0;100;0;0;362.001;72.4
100410324;veteriner Fakültesi;SAY;Ücretsiz;80;2;82;80;2;82;0;100;0;0;433.206;86.6
112690178;Diş Hekimliği Fakültesi;SAY;Ücretsiz;90;3;93;90;3;93;0;100;0;0;459.97;92
112690221;Eczacılık Fakültesi;SAY;Ücretsiz;70;2;72;70;2;72;0;100;0;0;451.409;90.3
112610554;Sağlık Bilimleri Fakültesi;SAY;Ücretsiz;70;2;72;70;2;72;0;100;0;0;423.378;84.7
112610509;Sağlık Bilimleri Fakültesi;SAY;Ücretsiz;90;3;93;90;3;93;0;100;2;2;412.443;82.5
112630637;Sağlık Bilimleri Fakültesi;SAY;İÖ-Ücretli;70;2;72;70;2;72;0;100;0;0;414.73;82.9
112610333;Sağlık Bilimleri Fakültesi;SAY;Ücretsiz;110;3;113;110;3;113;0;100;0;0;428.452;85.7
112610942;Sağlık Bilimleri Fakültesi;EA;Ücretsiz;70;2;72;70;2;72;0;100;3;3;384.907;77
112630628;Sağlık Bilimleri Fakültesi;EA;İÖ-Ücretli;70;2;72;72;0;72;0;100;5;5;365.831;73.2
112610315;Tıp Fakültesi;SAY;Ücretsiz;190;5;195;190;5;195;0;100;0;0;470.154;94
100510298;Beden Eğitimi ve Spor Yüksekokulu;EA;Ücretsiz;60;2;62;62;0;62;0;100;3;3;363.763;72.8
100510235;Eczacılık Fakültesi;SAY;Ücretsiz;80;2;82;80;2;82;0;100;0;0;446.008;89.2
100510077;Eğitim Fakültesi;SAY;Ücretsiz;60;2;62;60;2;62;0;100;0;0;422.489;84.5
100510086;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;2;2;376.117;75.2
100510095;Eğitim Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;1;1;400.207;80
100510023;Eğitim Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;0;0;394.86;79
100510032;Eğitim Fakültesi;SÖZ;Ücretsiz;50;2;52;52;0;52;0;100;1;1;372.657;74.5
100510041;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;2;2;376.584;75.3
100510262;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;50;2;52;52;0;52;0;100;4;4;353.646;70.7
100590075;Fen-Edebiyat Fakültesi;DİL;Ücretsiz;40;1;41;41;0;41;0;100;0;0;372.689;74.5
100510174;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;25;1;26;26;0;26;0;100;0;0;380.548;76.1
100590058;Fen-Edebiyat Fakültesi;SAY;Ücretsiz;15;1;16;16;0;16;0;100;0;0;398.386;79.7
100510208;Fen-Edebiyat Fakültesi;DİL;Ücretsiz;20;1;21;8;0;8;13;38.1;0;2;354.726;70.9
100590064;Fen-Edebiyat Fakültesi;EA;Ücretsiz;30;1;31;31;0;31;0;100;1;1;334.236;66.8
100510138;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;4;4;343.17;68.6
100530099;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;40;1;41;35;0;35;6;85.4;2;8;316.686;63.3
100510129;Fen-Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;2;2;346.183;69.2
100530063;Fen-Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;40;1;41;41;0;41;0;100;3;3;343.666;68.7
100590077;İktisadi ve İdari Bilimler Fakültesi;SÖZ;Ücretsiz;40;1;41;41;0;41;0;100;4;4;343.261;68.7
100510183;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;20;1;21;8;0;8;13;38.1;1;4;343.738;68.7
100510253;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;40;1;41;34;0;34;7;82.9;1;8;339.245;67.8
100510217;İslami İlimler Fakültesi;SÖZ;Ücretsiz;130;4;134;133;1;134;0;100;5;5;374.306;74.9
100530169;İslami İlimler Fakültesi;SÖZ;İÖ-Ücretli;100;3;103;103;0;103;0;100;3;3;356.647;71.3
100590078;Patnos Sosyal Hizmetler Yüksekokulu;EA;Ücretsiz;40;1;41;41;0;41;0;100;4;4;371.903;74.4
100510289;Sağlık Yüksekokulu;SAY;Ücretsiz;60;2;62;60;2;62;0;100;1;1;403.532;80.7
100530178;Sağlık Yüksekokulu;SAY;İÖ-Ücretli;40;1;41;41;0;41;0;100;0;0;401.428;80.3
100510059;Sağlık Yüksekokulu;SAY;Ücretsiz;80;2;82;80;2;82;0;100;0;0;408.591;81.7
100590061;Tıp Fakültesi;SAY;Ücretsiz;30;1;31;30;1;31;0;100;0;0;463.866;92.8
100590083;Turizm İşletmeciliği ve Otelcilik Yüksekokulu;SÖZ;Ücretsiz;30;1;31;31;0;31;0;100;0;0;357.983;71.6
100590073;Yabancı Diller Yüksekokulu;DİL;Ücretsiz;60;2;62;62;0;62;0;100;2;2;373.62;74.7
100590074;Yabancı Diller Yüksekokulu;DİL;İÖ-Ücretli;50;2;52;52;0;52;0;100;3;3;364.64;72.9
100710684;Diş Hekimliği Fakültesi;SAY;Ücretsiz;110;3;113;110;3;113;0;100;0;0;457.538;91.5
100710675;Edebiyat Fakültesi;DİL;Ücretsiz;60;2;62;62;0;62;0;100;3;3;381.01;76.2
100710048;Edebiyat Fakültesi;EA;Ücretsiz;65;2;67;67;0;67;0;100;2;2;377.011;75.4
100711037;Edebiyat Fakültesi;SÖZ;Ücretsiz;50;2;52;50;2;52;0;100;1;1;367.005;73.4
100730449;Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;40;1;41;41;0;41;0;100;3;3;354.426;70.9
100710066;Edebiyat Fakültesi;DİL;Ücretsiz;40;1;41;41;0;41;0;100;9;5;361.674;72.3
100710075;Edebiyat Fakültesi;EA;Ücretsiz;70;2;72;72;0;72;0;100;5;4;375.216;75
100710754;Edebiyat Fakültesi;DİL;Ücretsiz;70;2;72;71;1;72;0;100;0;0;408.322;81.7
100730361;Edebiyat Fakültesi;DİL;İÖ-Ücretli;60;2;62;62;0;62;0;100;1;1;403.896;80.8
100790419;Edebiyat Fakültesi;DİL;Ücretsiz;30;1;31;31;0;31;0;100;1;1;355.532;71.1
100710878;Edebiyat Fakültesi;EA;Ücretsiz;90;3;93;90;3;93;0;100;1;1;431.122;86.2
100790417;Edebiyat Fakültesi;DİL;Ücretsiz;40;1;41;41;0;41;0;100;3;0;390.92;78.2
100710657;Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;6;6;354.08;70.8
100710118;Edebiyat Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;2;2;391.042;78.2
100710127;Edebiyat Fakültesi;SÖZ;Ücretsiz;80;2;82;82;0;82;0;100;6;6;360.779;72.2
100710569;Edebiyat Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;1;1;381.845;76.4
100730185;Edebiyat Fakültesi;SÖZ;İÖ-Ücretli;50;2;52;52;0;52;0;100;1;1;378.657;75.7
100710472;Eğitim Fakültesi;SAY;Ücretsiz;50;2;52;52;0;52;0;100;0;0;429.187;85.8
100710612;Eğitim Fakültesi;SAY;Ücretsiz;50;2;52;50;2;52;0;100;0;0;454.689;90.9
100710012;Eğitim Fakültesi;DİL;Ücretsiz;70;2;72;70;2;72;0;100;1;0;428.56;85.7
100710021;Eğitim Fakültesi;SÖZ;Ücretsiz;70;2;72;70;2;72;0;100;0;0;402.803;80.6
100790319;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;0;0;399.101;79.8
100710833;Eğitim Fakültesi;EA;Ücretsiz;70;2;72;70;2;72;0;100;0;0;423.668;84.7
100710039;Eğitim Fakültesi;EA;Ücretsiz;60;2;62;60;2;62;0;100;0;0;417.14;83.4
100710587;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;2;2;387.124;77.4
100710463;Eğitim Fakültesi;SÖZ;Ücretsiz;60;2;62;60;2;62;0;100;1;1;399.715;79.9
100710057;Fen Fakültesi;SAY;Ücretsiz;55;2;57;57;0;57;0;100;6;6;403.596;80.7
100710084;Fen Fakültesi;SAY;Ücretsiz;20;1;21;21;0;21;0;100;1;1;386.35;77.3
100710093;Fen Fakültesi;SAY;Ücretsiz;20;1;21;20;1;21;0;100;0;0;409.429;81.9
100710109;Fen Fakültesi;SAY;Ücretsiz;70;2;72;72;0;72;0;100;3;3;411.458;82.3
100710693;Fen Fakültesi;SAY;Ücretsiz;40;1;41;41;0;41;0;100;0;0;378.941;75.8
100710136;Güzel Sanatlar Fakültesi;SÖZ;Ücretsiz;60;2;62;62;0;62;0;100;4;3;376.018;75.2
100710824;Hemşirelik Fakültesi;SAY;Ücretsiz;200;5;205;200;5;205;0;100;0;0;438.002;87.6
100710145;Hukuk Fakültesi;EA;Ücretsiz;240;6;246;240;6;246;0;100;0;0;435.638;87.1
100710578;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;70;2;72;72;0;72;0;100;3;3;378.611;75.7
100710596;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;0;0;378.175;75.6
100710154;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;80;2;82;82;0;82;0;100;2;2;383.901;76.8
100710163;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;80;2;82;82;0;82;0;100;3;3;390.071;78
100710181;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;80;2;82;81;1;82;0;100;3;3;389.99;78
100711197;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;90;3;93;90;3;93;0;100;2;2;402.202;80.4
100730467;İktisadi ve İdari Bilimler Fakültesi;EA;İÖ-Ücretli;70;2;72;72;0;72;0;100;1;1;395.414;79.1
100710199;İktisadi ve İdari Bilimler Fakültesi;EA;Ücretsiz;70;2;72;71;1;72;0;100;1;1;402.142;80.4
100730316;İktisadi ve İdari Bilimler Fakültesi;EA;İÖ-Ücretli;70;2;72;72;0;72;0;100;3;3;384.98;77
100710745;İlahiyat Fakültesi;SÖZ;Ücretsiz;150;4;154;150;4;154;0;100;4;4;390.784;78.2
100710445;İletişim Fakültesi;SÖZ;Ücretsiz;80;2;82;82;0;82;0;100;6;6;363.385;72.7
100710206;İletişim Fakültesi;SÖZ;Ücretsiz;80;2;82;80;2;82;0;100;2;2;372.249;74.4
100710215;İletişim Fakültesi;SÖZ;Ücretsiz;80;2;82;81;1;82;0;100;4;4;379.699;75.9
100790413;İletişim Fakültesi;SÖZ;Ücretsiz;70;2;72;72;0;72;0;100;4;4;373.635;74.7
100790323;Kemer Denizcilik Fakültesi;EA;Ücretsiz;60;2;62;61;1;62;0;100;0;0;382.346;76.5
100790330;Kumluca Sağlık Bilimleri Fakültesi;EA;Ücretsiz;70;2;72;70;2;72;0;100;2;2;407.473;81.5
